,code_circo,estimation,participation,candidat_1,candidat_1_parti,candidat_1_score,candidat_2,candidat_2_parti,candidat_2_score,candidat_3,candidat_3_parti,candidat_3_score,second_tour,NFP_vs_RN,diff_vote,swing_circo
378,073-04,False,71.12,Jean-François COULOMME / NFP / La France insoumise,NFP,36.87,Brice BERNARD / EXD / Rassemblement national,EXD,30.23,Anaïs GOMERO / ENS / Modem,ENS,27.72,True,True,6.639999999999997,
379,074-01,False,73.09,Véronique RIOTTON / ENS / Renaissance,ENS,35.64,Guillaume ROIT-LEVÊQUE / EXD / Rassemblement national,EXD,31.09,Anne-Valérie DUVAL / NFP / La France insoumise,NFP,22.82,True,False,4.550000000000001,<5
380,074-02,False,71.84,Antoine ARMAND / ENS / Renaissance,ENS,33.27,Anis BOUVARD / EXD / Rassemblement national,EXD,28.8,Guillaume TATU / NFP / Les Écologistes,NFP,26.88,True,False,4.470000000000002,<5
381,074-03,False,69.39,Antoine VALENTIN / EXD / À droite ! Les amis d’Éric Ciotti,EXD,39.68,Christelle PETEX / Divers droite,,32.37,Gérard VEZ / NFP / La France insoumise,NFP,24.01,True,False,7.310000000000002,
382,074-04,False,62.54,Virginie DUBY-MULLER / LR / Les Républicains,LR,37.25,Magalie LUHO / EXD / Rassemblement national,EXD,28.85,Dominique LACHENAL / NFP / Parti socialiste,NFP,27.37,True,False,8.399999999999999,
383,074-05,False,67.09,Quentin TAÏEB / EXD / À droite ! Les amis d’Éric Ciotti,EXD,32.1,Anne-Cécile VIOLLAND / ENS / Horizons,ENS,31.08,Jean-Baptiste BAUD / NFP / Parti socialiste,NFP,23.52,True,False,1.0200000000000031,<2
384,074-06,False,67.46,Charles PRATS / EXD / À droite ! Les amis d’Éric Ciotti,EXD,36.21,Xavier ROSEREN / ENS / Renaissance,ENS,34.68,Alain ROUBIAN / NFP / Place publique,NFP,22.2,True,False,1.5300000000000011,<2
385,075-01,False,75.22,Sylvain MAILLARD / ENS / Renaissance,ENS,44.7,Raphaël KEMPF / NFP / La France insoumise,NFP,32.09,,,,True,False,12.61,
386,075-02,False,76.31,Marine ROSSET / NFP / Parti socialiste,NFP,33.4,Jean LAUSSUCQ / ENS / Renaissance,ENS,23.62,Gilles LE GENDRE / Divers centre,,19.62,True,False,9.779999999999998,
387,075-03,False,73.33,Léa BALAGE EL MARIKY / NFP / Les Écologistes,NFP,46.15,Stanislas GUERINI / ENS / Renaissance,ENS,33.99,,,,True,False,12.159999999999997,
388,075-04,False,72.91,Astrid PANOSYAN-BOUVET / ENS / Renaissance,ENS,37.19,Geoffroy BOULARD / LR / Les Républicains,LR,26.55,Théa FOUDRINIER / NFP / Place publique,NFP,17.91,True,False,10.639999999999997,
389,075-05,False,75.35,Pouria AMIRSHAHI / NFP / Les Écologistes,NFP,54.24,,,,,,,False,False,,
390,075-06,False,73.85,Sophia CHIKIROU / NFP / La France insoumise,NFP,58.19,,,,,,,False,False,,
391,075-07,False,76.53,Emmanuel GREGOIRE / NFP / Parti socialiste,NFP,50.87,,,,,,,False,False,,
392,075-08,False,72.53,Eva SAS / NFP / Les Écologistes,NFP,50.73,,,,,,,False,False,,
393,075-09,False,71.14,Sandrine ROUSSEAU / NFP / Les Écologistes,NFP,52.13,,,,,,,False,False,,
394,075-10,False,71.7,Rodrigo ARENAS / NFP / La France insoumise,NFP,50.66,,,,,,,False,False,,
395,075-11,False,76.82,Céline HERVIEU / NFP / Parti socialiste,NFP,43.7,Maud GATEL / ENS / Modem,ENS,34.85,,,,True,False,8.850000000000001,
396,075-12,False,75.3,Olivia GREGOIRE / ENS / Renaissance,ENS,39.36,Celine MALAISÉ / NFP / Parti communiste français,NFP,28.96,,,,True,False,10.399999999999999,
397,075-13,False,72.79,David AMIEL / ENS / Renaissance,ENS,38.85,Aminata NIAKATÉ / NFP / Les Écologistes,NFP,37.11,,,,True,False,1.740000000000002,<2
